"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"40663","3","1","531.0","2012-04-25 18:26:36.735"
"40664","1","1","5.14","2012-04-25 18:26:46.709"
"40665","2","1","513.0","2012-04-25 18:26:46.709"
"40666","3","1","528.0","2012-04-25 18:26:46.709"
"40667","1","1","5.14","2012-04-25 18:26:56.79"
"40668","2","1","513.0","2012-04-25 18:26:56.79"
"40669","3","1","527.0","2012-04-25 18:26:56.791"
"40670","1","1","5.22","2012-04-25 18:27:06.843"
"40671","2","1","513.0","2012-04-25 18:27:06.843"
"40672","3","1","530.0","2012-04-25 18:27:06.843"
"40673","1","1","5.14","2012-04-25 18:27:16.927"
"40674","2","1","512.0","2012-04-25 18:27:16.927"
"40675","3","1","539.0","2012-04-25 18:27:16.928"
"40676","1","1","5.3","2012-04-25 18:27:26.98"
"40677","2","1","512.0","2012-04-25 18:27:26.981"
"40678","3","1","542.0","2012-04-25 18:27:26.981"
"40679","1","1","5.22","2012-04-25 18:27:37.017"
"40680","2","1","513.0","2012-04-25 18:27:37.017"
"40681","3","1","542.0","2012-04-25 18:27:37.018"
"40682","1","1","5.14","2012-04-25 18:27:47.055"
"40683","2","1","514.0","2012-04-25 18:27:47.055"
"40684","3","1","537.0","2012-04-25 18:27:47.055"
"40685","1","1","5.22","2012-04-25 18:27:57.182"
"40686","2","1","513.0","2012-04-25 18:27:57.182"
"40687","3","1","531.0","2012-04-25 18:27:57.182"
"40688","1","1","5.3","2012-04-25 18:28:07.203"
"40689","2","1","514.0","2012-04-25 18:28:07.211"
"40690","3","1","542.0","2012-04-25 18:28:07.212"
"40691","1","1","5.3","2012-04-25 18:28:17.229"
"40692","2","1","512.0","2012-04-25 18:28:17.23"
"40693","3","1","533.0","2012-04-25 18:28:17.23"
"40694","1","1","5.22","2012-04-25 18:28:27.288"
"40695","2","1","512.0","2012-04-25 18:28:27.288"
"40696","3","1","538.0","2012-04-25 18:28:27.288"
"40697","1","1","5.3","2012-04-25 18:28:37.351"
"40698","2","1","512.0","2012-04-25 18:28:37.352"
"40699","3","1","541.0","2012-04-25 18:28:37.352"
"40700","1","1","5.3","2012-04-25 18:28:47.398"
"40701","2","1","512.0","2012-04-25 18:28:47.398"
"40702","3","1","529.0","2012-04-25 18:28:47.399"
"40703","1","1","5.14","2012-04-25 18:28:57.459"
"40704","2","1","513.0","2012-04-25 18:28:57.459"
"40705","3","1","542.0","2012-04-25 18:28:57.46"
"40706","1","1","5.22","2012-04-25 18:29:07.514"
"40707","2","1","512.0","2012-04-25 18:29:07.515"
"40708","3","1","543.0","2012-04-25 18:29:07.515"
"40709","1","1","5.22","2012-04-25 18:29:17.627"
"40710","2","1","512.0","2012-04-25 18:29:17.628"
"40711","3","1","529.0","2012-04-25 18:29:17.628"
"40712","1","1","5.14","2012-04-25 18:29:27.631"
"40713","2","1","513.0","2012-04-25 18:29:27.632"
"40714","3","1","538.0","2012-04-25 18:29:27.632"
"40715","1","1","5.3","2012-04-25 18:29:37.692"
"40716","2","1","513.0","2012-04-25 18:29:37.707"
"40717","3","1","538.0","2012-04-25 18:29:37.708"
"40718","1","1","5.14","2012-04-25 18:29:47.751"
"40719","2","1","513.0","2012-04-25 18:29:47.752"
"40720","3","1","542.0","2012-04-25 18:29:47.752"
"40721","1","1","5.3","2012-04-25 18:29:57.809"
"40722","2","1","512.0","2012-04-25 18:29:57.901"
"40723","3","1","539.0","2012-04-25 18:29:57.901"
