"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"37569","3","1","633.0","2012-04-24 17:50:27.531"
"37570","1","1","4.37","2012-04-24 17:50:37.521"
"37571","2","1","513.0","2012-04-24 17:50:37.521"
"37572","3","1","632.0","2012-04-24 17:50:37.521"
"37573","1","1","4.45","2012-04-24 17:50:47.584"
"37574","2","1","513.0","2012-04-24 17:50:47.584"
"37575","3","1","635.0","2012-04-24 17:50:47.584"
"37576","1","1","4.53","2012-04-24 17:50:57.644"
"37577","2","1","512.0","2012-04-24 17:50:57.644"
"37578","3","1","638.0","2012-04-24 17:50:57.644"
"37579","1","1","4.53","2012-04-24 17:51:07.71"
"37580","2","1","513.0","2012-04-24 17:51:07.718"
"37581","3","1","634.0","2012-04-24 17:51:07.718"
"37582","1","1","4.53","2012-04-24 17:51:17.767"
"37583","2","1","513.0","2012-04-24 17:51:17.767"
"37584","3","1","629.0","2012-04-24 17:51:17.767"
"37585","1","1","4.53","2012-04-24 17:51:27.844"
"37586","2","1","513.0","2012-04-24 17:51:27.844"
"37587","3","1","630.0","2012-04-24 17:51:27.844"
"37588","1","1","4.53","2012-04-24 17:51:37.871"
"37589","2","1","513.0","2012-04-24 17:51:37.871"
"37590","3","1","625.0","2012-04-24 17:51:37.871"
"37591","1","1","4.6","2012-04-24 17:51:47.934"
"37592","2","1","512.0","2012-04-24 17:51:47.934"
"37593","3","1","625.0","2012-04-24 17:51:47.935"
"37594","1","1","4.6","2012-04-24 17:51:58.062"
"37595","2","1","512.0","2012-04-24 17:51:58.062"
"37596","3","1","624.0","2012-04-24 17:51:58.062"
"37597","1","1","4.6","2012-04-24 17:52:08.084"
"37598","2","1","513.0","2012-04-24 17:52:08.084"
"37599","3","1","622.0","2012-04-24 17:52:08.084"
"37600","1","1","4.6","2012-04-24 17:52:18.111"
"37601","2","1","512.0","2012-04-24 17:52:18.111"
"37602","3","1","620.0","2012-04-24 17:52:18.111"
"37603","1","1","4.53","2012-04-24 17:52:28.17"
"37604","2","1","513.0","2012-04-24 17:52:28.17"
"37605","3","1","619.0","2012-04-24 17:52:28.17"
"37606","1","1","4.68","2012-04-24 17:52:38.299"
"37607","2","1","512.0","2012-04-24 17:52:38.307"
"37608","3","1","619.0","2012-04-24 17:52:38.307"
"37609","1","1","4.6","2012-04-24 17:52:48.324"
"37610","2","1","513.0","2012-04-24 17:52:48.324"
"37611","3","1","617.0","2012-04-24 17:52:48.324"
"37612","1","1","4.53","2012-04-24 17:52:58.378"
"37613","2","1","513.0","2012-04-24 17:52:58.378"
"37614","3","1","610.0","2012-04-24 17:52:58.378"
"37615","1","1","4.53","2012-04-24 17:53:08.398"
"37616","2","1","513.0","2012-04-24 17:53:08.398"
"37617","3","1","607.0","2012-04-24 17:53:08.398"
"37618","1","1","4.6","2012-04-24 17:53:18.456"
"37619","2","1","512.0","2012-04-24 17:53:18.456"
"37620","3","1","608.0","2012-04-24 17:53:18.456"
"37621","1","1","4.6","2012-04-24 17:53:28.564"
"37622","2","1","513.0","2012-04-24 17:53:28.564"
"37623","3","1","602.0","2012-04-24 17:53:28.564"
"37624","1","1","4.6","2012-04-24 17:53:38.645"
"37625","2","1","512.0","2012-04-24 17:53:38.646"
"37626","3","1","603.0","2012-04-24 17:53:38.646"
"37627","1","1","4.68","2012-04-24 17:53:48.624"
"37628","2","1","512.0","2012-04-24 17:53:48.624"
"37629","3","1","602.0","2012-04-24 17:53:48.624"
"37630","1","1","4.6","2012-04-24 17:53:58.682"
"37631","2","1","513.0","2012-04-24 17:53:58.682"
"37632","3","1","598.0","2012-04-24 17:53:58.682"
"37633","1","1","4.68","2012-04-24 17:54:08.764"
"37634","2","1","512.0","2012-04-24 17:54:08.772"
"37635","3","1","600.0","2012-04-24 17:54:08.772"
"37636","1","1","4.6","2012-04-24 17:54:18.797"
"37637","2","1","513.0","2012-04-24 17:54:18.797"
"37638","3","1","595.0","2012-04-24 17:54:18.797"
"37639","1","1","4.6","2012-04-24 17:54:28.897"
"37640","2","1","513.0","2012-04-24 17:54:28.898"
"37641","3","1","589.0","2012-04-24 17:54:28.898"
"37642","1","1","4.68","2012-04-24 17:54:38.949"
"37643","2","1","512.0","2012-04-24 17:54:38.949"
"37644","3","1","588.0","2012-04-24 17:54:38.949"
"37645","1","1","4.68","2012-04-24 17:54:48.974"
"37646","2","1","513.0","2012-04-24 17:54:48.974"
"37647","3","1","592.0","2012-04-24 17:54:48.974"
"37648","1","1","4.68","2012-04-24 17:54:59.055"
"37649","2","1","513.0","2012-04-24 17:54:59.055"
"37650","3","1","583.0","2012-04-24 17:54:59.056"
"37651","1","1","4.6","2012-04-24 17:55:09.138"
"37652","2","1","513.0","2012-04-24 17:55:09.138"
"37653","3","1","584.0","2012-04-24 17:55:09.138"
"37654","1","1","4.68","2012-04-24 17:55:19.155"
"37655","2","1","512.0","2012-04-24 17:55:19.155"
"37656","3","1","581.0","2012-04-24 17:55:19.156"
"37657","1","1","4.68","2012-04-24 17:55:29.301"
"37658","2","1","513.0","2012-04-24 17:55:29.301"
"37659","3","1","581.0","2012-04-24 17:55:29.301"
"37660","1","1","4.6","2012-04-24 17:55:39.323"
"37661","2","1","513.0","2012-04-24 17:55:39.331"
"37662","3","1","578.0","2012-04-24 17:55:39.331"
"37663","1","1","4.6","2012-04-24 17:55:49.408"
"37664","2","1","513.0","2012-04-24 17:55:49.408"
"37665","3","1","578.0","2012-04-24 17:55:49.408"
"37666","1","1","4.68","2012-04-24 17:55:59.429"
"37667","2","1","512.0","2012-04-24 17:55:59.429"
"37668","3","1","576.0","2012-04-24 17:55:59.43"
"37669","1","1","4.68","2012-04-24 17:56:09.482"
"37670","2","1","512.0","2012-04-24 17:56:09.483"
"37671","3","1","570.0","2012-04-24 17:56:09.483"
"37672","1","1","4.6","2012-04-24 17:56:19.504"
"37673","2","1","513.0","2012-04-24 17:56:19.504"
"37674","3","1","567.0","2012-04-24 17:56:19.504"
"37675","1","1","4.6","2012-04-24 17:56:29.559"
"37676","2","1","513.0","2012-04-24 17:56:29.559"
"37677","3","1","566.0","2012-04-24 17:56:29.559"
"37678","1","1","4.68","2012-04-24 17:56:39.637"
"37679","2","1","512.0","2012-04-24 17:56:39.637"
"37680","3","1","568.0","2012-04-24 17:56:39.637"
"37681","1","1","4.6","2012-04-24 17:56:49.692"
"37682","2","1","513.0","2012-04-24 17:56:49.692"
"37683","3","1","565.0","2012-04-24 17:56:49.693"
"37684","1","1","4.6","2012-04-24 17:56:59.743"
"37685","2","1","513.0","2012-04-24 17:56:59.743"
"37686","3","1","563.0","2012-04-24 17:56:59.743"
"37687","1","1","4.68","2012-04-24 17:57:09.886"
"37688","2","1","513.0","2012-04-24 17:57:09.894"
"37689","3","1","558.0","2012-04-24 17:57:09.894"
"37690","1","1","4.68","2012-04-24 17:57:19.857"
"37691","2","1","513.0","2012-04-24 17:57:19.857"
