"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"361","1","1","6.0","2012-04-14 17:49:19.163"
"362","2","1","512.0","2012-04-14 17:49:19.164"
"363","3","1","405.0","2012-04-14 17:49:19.164"
"364","1","1","5.92","2012-04-14 17:49:29.236"
"365","2","1","513.0","2012-04-14 17:49:29.237"
"366","3","1","397.0","2012-04-14 17:49:29.238"
"367","1","1","5.84","2012-04-14 17:49:39.228"
"368","2","1","514.0","2012-04-14 17:49:39.229"
"369","3","1","402.0","2012-04-14 17:49:39.229"
"370","1","1","5.84","2012-04-14 17:49:49.34"
"371","2","1","514.0","2012-04-14 17:49:49.348"
"372","3","1","402.0","2012-04-14 17:49:49.348"
"373","1","1","6.0","2012-04-14 17:49:59.391"
"374","2","1","512.0","2012-04-14 17:49:59.392"
"375","3","1","404.0","2012-04-14 17:49:59.401"
"376","1","1","6.0","2012-04-14 17:50:09.396"
"377","2","1","512.0","2012-04-14 17:50:09.396"
"378","3","1","400.0","2012-04-14 17:50:09.397"
"379","1","1","6.0","2012-04-14 17:50:19.525"
"380","2","1","512.0","2012-04-14 17:50:19.526"
"381","3","1","399.0","2012-04-14 17:50:19.526"
"382","1","1","6.0","2012-04-14 17:50:29.577"
"383","2","1","512.0","2012-04-14 17:50:29.577"
"384","3","1","397.0","2012-04-14 17:50:29.578"
"385","1","1","6.0","2012-04-14 17:50:39.719"
"386","2","1","513.0","2012-04-14 17:50:39.72"
"387","3","1","392.0","2012-04-14 17:50:39.72"
"388","1","1","5.92","2012-04-14 17:50:49.775"
"389","2","1","512.0","2012-04-14 17:50:49.775"
"390","3","1","403.0","2012-04-14 17:50:49.777"
"391","1","1","6.0","2012-04-14 17:50:59.766"
"392","2","1","513.0","2012-04-14 17:50:59.767"
"393","3","1","394.0","2012-04-14 17:50:59.767"
"394","1","1","6.0","2012-04-14 17:51:09.827"
"395","2","1","513.0","2012-04-14 17:51:09.827"
"396","3","1","390.0","2012-04-14 17:51:09.827"
"397","1","1","5.92","2012-04-14 17:51:19.865"
"398","2","1","513.0","2012-04-14 17:51:19.871"
"399","3","1","395.0","2012-04-14 17:51:19.872"
"400","1","1","6.0","2012-04-14 17:51:30.575"
"401","2","1","512.0","2012-04-14 17:51:30.575"
"402","3","1","391.0","2012-04-14 17:51:30.575"
"403","1","1","5.92","2012-04-14 17:51:40.039"
"404","2","1","514.0","2012-04-14 17:51:40.04"
"405","3","1","393.0","2012-04-14 17:51:40.04"
"406","1","1","5.92","2012-04-14 17:51:50.12"
"407","2","1","514.0","2012-04-14 17:51:50.121"
"408","3","1","391.0","2012-04-14 17:51:50.121"
"409","1","1","5.92","2012-04-14 17:52:00.099"
"410","2","1","514.0","2012-04-14 17:52:00.099"
"411","3","1","391.0","2012-04-14 17:52:00.1"
"412","1","1","5.92","2012-04-14 17:52:10.157"
"413","2","1","514.0","2012-04-14 17:52:10.157"
"414","3","1","387.0","2012-04-14 17:52:10.157"
"415","1","1","5.92","2012-04-14 17:52:20.244"
"416","2","1","514.0","2012-04-14 17:52:20.245"
"417","3","1","381.0","2012-04-14 17:52:20.245"
"418","1","1","6.0","2012-04-14 17:52:30.355"
"419","2","1","513.0","2012-04-14 17:52:30.355"
"420","3","1","381.0","2012-04-14 17:52:30.356"
"421","1","1","6.0","2012-04-14 17:52:40.332"
"422","2","1","512.0","2012-04-14 17:52:40.333"
"423","3","1","381.0","2012-04-14 17:52:40.333"
"424","1","1","5.92","2012-04-14 17:52:50.459"
"425","2","1","514.0","2012-04-14 17:52:50.466"
"426","3","1","376.0","2012-04-14 17:52:50.467"
"427","1","1","5.92","2012-04-14 17:53:00.481"
"428","2","1","513.0","2012-04-14 17:53:00.481"
"429","3","1","382.0","2012-04-14 17:53:00.489"
"430","1","1","6.0","2012-04-14 17:53:10.561"
"431","2","1","512.0","2012-04-14 17:53:10.562"
"432","3","1","373.0","2012-04-14 17:53:10.562"
"433","1","1","5.92","2012-04-14 17:53:20.572"
"434","2","1","514.0","2012-04-14 17:53:20.572"
"435","3","1","376.0","2012-04-14 17:53:20.572"
"436","1","1","5.84","2012-04-14 17:53:30.694"
"437","2","1","512.0","2012-04-14 17:53:30.694"
"438","3","1","380.0","2012-04-14 17:53:30.695"
"439","1","1","5.92","2012-04-14 17:53:40.693"
"440","2","1","514.0","2012-04-14 17:53:40.694"
"441","3","1","376.0","2012-04-14 17:53:40.754"
"442","1","1","5.84","2012-04-14 17:53:50.751"
"443","2","1","512.0","2012-04-14 17:53:50.751"
"444","3","1","380.0","2012-04-14 17:53:50.752"
"445","1","1","6.0","2012-04-14 17:54:00.81"
"446","2","1","512.0","2012-04-14 17:54:00.81"
"447","3","1","373.0","2012-04-14 17:54:00.81"
"448","1","1","5.84","2012-04-14 17:54:10.913"
"449","2","1","514.0","2012-04-14 17:54:10.914"
"450","3","1","372.0","2012-04-14 17:54:10.914"
"451","1","1","5.92","2012-04-14 17:54:20.934"
"452","2","1","512.0","2012-04-14 17:54:20.942"
"453","3","1","369.0","2012-04-14 17:54:20.943"
"454","1","1","5.84","2012-04-14 17:54:30.992"
"455","2","1","514.0","2012-04-14 17:54:30.993"
"456","3","1","366.0","2012-04-14 17:54:30.994"
"457","1","1","5.76","2012-04-14 17:54:41.044"
"458","2","1","513.0","2012-04-14 17:54:41.044"
"459","3","1","372.0","2012-04-14 17:54:41.044"
