"ID","SENSORTYPE_ID","LOCATION_ID","VALUE","MEASURE_TIME"
"15117","2","1","512.0","2012-04-19 16:03:27.85"
"15118","3","1","902.0","2012-04-19 16:03:27.851"
"15119","1","1","5.3","2012-04-19 16:03:37.898"
"15120","2","1","512.0","2012-04-19 16:03:37.898"
"15121","3","1","903.0","2012-04-19 16:03:37.898"
"15122","1","1","5.22","2012-04-19 16:03:47.956"
"15123","2","1","513.0","2012-04-19 16:03:47.957"
"15124","3","1","902.0","2012-04-19 16:03:47.957"
"15125","1","1","5.22","2012-04-19 16:03:58.018"
"15126","2","1","512.0","2012-04-19 16:03:58.018"
"15127","3","1","909.0","2012-04-19 16:03:58.018"
"15128","1","1","5.22","2012-04-19 16:04:08.099"
"15129","2","1","513.0","2012-04-19 16:04:08.1"
"15130","3","1","903.0","2012-04-19 16:04:08.1"
"15131","1","1","5.22","2012-04-19 16:04:18.133"
"15132","2","1","513.0","2012-04-19 16:04:18.133"
"15133","3","1","902.0","2012-04-19 16:04:18.133"
"15134","1","1","5.14","2012-04-19 16:04:28.191"
"15135","2","1","513.0","2012-04-19 16:04:28.191"
"15136","3","1","907.0","2012-04-19 16:04:28.192"
"15137","1","1","5.3","2012-04-19 16:04:38.259"
"15138","2","1","512.0","2012-04-19 16:04:38.259"
"15139","3","1","905.0","2012-04-19 16:04:38.259"
"15140","1","1","5.3","2012-04-19 16:04:48.342"
"15141","2","1","512.0","2012-04-19 16:04:48.342"
"15142","3","1","903.0","2012-04-19 16:04:48.343"
"15143","1","1","5.22","2012-04-19 16:04:58.366"
"15144","2","1","513.0","2012-04-19 16:04:58.372"
"15145","3","1","902.0","2012-04-19 16:04:58.373"
"15146","1","1","5.22","2012-04-19 16:05:08.447"
"15147","2","1","514.0","2012-04-19 16:05:08.447"
"15148","3","1","904.0","2012-04-19 16:05:08.447"
"15149","1","1","5.3","2012-04-19 16:05:18.485"
"15150","2","1","512.0","2012-04-19 16:05:18.485"
"15151","3","1","904.0","2012-04-19 16:05:18.485"
"15152","1","1","5.3","2012-04-19 16:05:28.554"
"15153","2","1","512.0","2012-04-19 16:05:28.554"
"15154","3","1","902.0","2012-04-19 16:05:28.554"
"15155","1","1","5.3","2012-04-19 16:05:38.602"
"15156","2","1","513.0","2012-04-19 16:05:38.602"
"15157","3","1","901.0","2012-04-19 16:05:38.602"
"15158","1","1","5.22","2012-04-19 16:05:48.659"
"15159","2","1","513.0","2012-04-19 16:05:48.659"
"15160","3","1","907.0","2012-04-19 16:05:48.659"
"15161","1","1","5.22","2012-04-19 16:05:58.739"
"15162","2","1","512.0","2012-04-19 16:05:58.739"
"15163","3","1","906.0","2012-04-19 16:05:58.739"
"15164","1","1","5.22","2012-04-19 16:06:08.82"
"15165","2","1","513.0","2012-04-19 16:06:08.821"
"15166","3","1","903.0","2012-04-19 16:06:08.821"
"15167","1","1","5.14","2012-04-19 16:06:18.906"
"15168","2","1","513.0","2012-04-19 16:06:18.906"
"15169","3","1","906.0","2012-04-19 16:06:18.906"
"15170","1","1","5.14","2012-04-19 16:06:28.935"
"15171","2","1","513.0","2012-04-19 16:06:28.945"
"15172","3","1","906.0","2012-04-19 16:06:28.945"
"15173","1","1","5.3","2012-04-19 16:06:38.968"
"15174","2","1","512.0","2012-04-19 16:06:38.968"
"15175","3","1","903.0","2012-04-19 16:06:38.968"
"15176","1","1","5.22","2012-04-19 16:06:49.063"
"15177","2","1","512.0","2012-04-19 16:06:49.063"
"15178","3","1","907.0","2012-04-19 16:06:49.063"
"15179","1","1","5.3","2012-04-19 16:06:59.086"
"15180","2","1","511.0","2012-04-19 16:06:59.086"
"15181","3","1","905.0","2012-04-19 16:06:59.087"
"15182","1","1","5.22","2012-04-19 16:07:09.128"
"15183","2","1","512.0","2012-04-19 16:07:09.128"
"15184","3","1","907.0","2012-04-19 16:07:09.128"
"15185","1","1","5.22","2012-04-19 16:07:19.226"
"15186","2","1","513.0","2012-04-19 16:07:19.226"
"15187","3","1","906.0","2012-04-19 16:07:19.226"
"15188","1","1","5.3","2012-04-19 16:07:29.278"
"15189","2","1","513.0","2012-04-19 16:07:29.278"
"15190","3","1","902.0","2012-04-19 16:07:29.278"
"15191","1","1","5.22","2012-04-19 16:07:39.305"
"15192","2","1","512.0","2012-04-19 16:07:39.305"
"15193","3","1","907.0","2012-04-19 16:07:39.305"
"15194","1","1","5.14","2012-04-19 16:07:49.411"
"15195","2","1","513.0","2012-04-19 16:07:49.412"
